user_id,category_id,product_id,total_interactions,rank_in_category
548885063,2053013554658804075,4804056,4200,1
548885063,2053013555631882655,1004856,12850,1
548885063,2053013554658804075,4804295,2454,2
548885063,2053013555631882655,1004767,10654,2
548885063,2053013561218695907,4100129,547,2
548885063,2053013554658804075,4804055,1540,3
548885063,2053013555631882655,1005115,8136,3
548885063,2053013561218695907,4100126,420,3
548885063,2053013554658804075,4802036,1089,4
548885063,2053013561218695907,4100151,221,4
